"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Small Worlds.nlogo"
"vary-rewiring-probability"
"05/21/2024 17:14:12:169 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","rewiring-probability","[step]","average-path-length","clustering-coefficient"
"81","0.0801","1","5.77010101010101","0.4253333333333334"
"82","0.0811","1","4.898181818181818","0.40566666666666656"
"83","0.0821","1","5.44989898989899","0.41800000000000004"
"85","0.0841","1","4.919595959595959","0.3616666666666665"
"86","0.0851","1","5.902020202020202","0.4480000000000001"
"87","0.0861","1","5.345656565656566","0.4076666666666667"
"84","0.0831","1","5.488484848484848","0.40766666666666673"
"88","0.0871","1","5.1896969696969695","0.3906666666666668"
"89","0.0881","1","4.851313131313131","0.3736666666666666"
"90","0.0891","1","6.1767676767676765","0.4323333333333333"
"92","0.0911","1","5.707676767676768","0.424"
"91","0.0901","1","4.938989898989899","0.37366666666666676"
"93","0.0921","1","5.6195959595959595","0.43133333333333335"
"94","0.0931","1","5.426868686868687","0.4063333333333335"
"96","0.0951","1","5.088080808080808","0.39699999999999996"
"95","0.0941","1","5.429494949494949","0.41666666666666663"
"99","0.0981","1","5.760808080808081","0.4039999999999999"
"98","0.0971","1","5.392929292929293","0.384"
"97","0.0961","1","5.594949494949495","0.4320000000000001"
"100","0.0991","1","5.196565656565657","0.408"
"101","0.1001","1","4.914747474747474","0.3436666666666665"
"103","0.1021","1","4.745252525252525","0.357239057239057"
"102","0.1011","1","5.152121212121212","0.37133333333333324"
"104","0.1031","1","4.643030303030303","0.36066666666666664"
"105","0.1041","1","4.7561616161616165","0.3369999999999998"
"106","0.1051","1","5.613939393939394","0.4453333333333333"
"108","0.1071","1","5.082222222222223","0.3984285714285713"
"107","0.1061","1","4.912525252525253","0.35933333333333345"
"109","0.1081","1","5.513333333333334","0.4156666666666667"
"112","0.1111","1","4.555555555555555","0.33195238095238094"
"111","0.1101","1","5.169292929292929","0.38733333333333336"
"110","0.1091","1","4.963636363636364","0.3816666666666666"
"113","0.1121","1","4.813535353535354","0.37366666666666676"
"114","0.1131","1","4.811717171717172","0.3606666666666667"
"116","0.1151","1","4.798787878787879","0.366"
"118","0.1171","1","4.36040404040404","0.293"
"115","0.1141","1","4.808282828282828","0.3593333333333333"
"117","0.1161","1","4.487272727272727","0.29500000000000004"
"120","0.1191","1","4.845252525252525","0.3603333333333334"
"119","0.1181","1","4.585858585858586","0.3326666666666665"
"121","0.1201","1","4.6177777777777775","0.31399999999999983"
"122","0.1211","1","4.715757575757576","0.3473333333333333"
"123","0.1221","1","4.4658585858585855","0.32866666666666655"
"124","0.1231","1","4.693737373737374","0.36166666666666664"
"125","0.1241","1","4.951313131313131","0.3916666666666667"
"126","0.1251","1","4.301010101010101","0.2922857142857142"
"128","0.1271","1","4.5341414141414145","0.33366666666666667"
"130","0.1291","1","4.88989898989899","0.3536666666666668"
"127","0.1261","1","4.676565656565656","0.3353333333333333"
"129","0.1281","1","5.205454545454545","0.38033333333333325"
"132","0.1311","1","5.16949494949495","0.34800000000000003"
"131","0.1301","1","4.794545454545455","0.3213333333333333"
"133","0.1321","1","4.48040404040404","0.3166666666666666"
"134","0.1331","1","4.612121212121212","0.34"
"136","0.1351","1","5.084646464646465","0.36400000000000005"
"135","0.1341","1","4.424444444444444","0.3140000000000001"
"137","0.1361","1","4.571515151515151","0.3516666666666666"
"138","0.1371","1","4.569494949494949","0.33009523809523805"
"141","0.1401","1","4.847272727272728","0.3940000000000001"
"139","0.1381","1","4.414949494949495","0.2999999999999999"
"140","0.1391","1","4.153333333333333","0.28942857142857137"
"142","0.1411","1","4.384040404040404","0.31976190476190464"
"144","0.1431","1","5.165252525252526","0.39733333333333326"
"143","0.1421","1","5.03030303030303","0.37133333333333335"
"147","0.1461","1","4.401414141414142","0.32499999999999996"
"145","0.1441","1","5.1731313131313135","0.3493333333333334"
"146","0.1451","1","4.664040404040404","0.3313333333333333"
"148","0.1471","1","5.065454545454545","0.3756666666666667"
"149","0.1481","1","4.55959595959596","0.34428571428571425"
"150","0.1491","1","4.643232323232323","0.3216666666666667"
"151","0.1501","1","4.594343434343434","0.3036666666666667"
"153","0.1521","1","4.183434343434343","0.27347619047619043"
"152","0.1511","1","4.294141414141414","0.2553333333333333"
"154","0.1531","1","4.643232323232323","0.35900000000000015"
